CatalogueNo,Species ,Individual,Date,Year,Season,State,Sex,SL,PreyAbd,Emp,Dip,Tric,Chironomidae,Simuliidae,Tipulidae ,Blephariceridae ,Diptera_Other,%Emp,%Dip,%Tric,%Chi,%Sim,%Tip,%Bleph,%Dip_Unk,sqrtPreyAbd,sqrtEmp,sqrtDip,sqrtTric,sqrtChironomidae,sqrtSimuliidae,sqrtTipulidae ,sqrtBlephariceridae,sqrtDiptera_Other,sqrtXEmp,sqrtXDip,sqrtXTric,sqrtXChi,sqrtXSim,sqrtXTip,sqrtXBleph,sqrtXDip_Unk
APPSU 28389,1,1,5/22/2015,2015,Spring,North Carolina,Female,48,10,7,1,1,0,0,0,0,1,70,10,10,0,0,0,0,10,3.16227766,2.645751311,1,1,0,0,0,0,1,8.366600265,3.16227766,3.16227766,0,0,0,0,3.16227766
APPSU 28389,1,2,5/22/2015,2015,Spring,North Carolina,Female,43,12,6,3,0,2,1,0,0,0,50,25,0,16.66666667,8.333333333,0,0,0,3.464101615,2.449489743,1.732050808,0,1.414213562,1,0,0,0,7.071067812,5,0,4.082482905,2.886751346,0,0,0
APPSU 28389,1,3,5/22/2015,2015,Spring,North Carolina,Female,46,44,11,16,1,16,0,0,0,0,25,36.36363636,2.272727273,36.36363636,0,0,0,0,6.633249581,3.31662479,4,1,4,0,0,0,0,5,6.030226891,1.507556723,6.030226891,0,0,0,0
APPSU 28389,1,4,5/22/2015,2015,Spring,North Carolina,Female,47,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
APPSU 28652,1,1,10/15/2015,2015,Autumn,North Carolina,Male,67,2,2,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1.414213562,1.414213562,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
APPSU 28852,1,1,4/29/2016,2016,Spring,North Carolina,Female,58,48,14,17,0,15,2,0,0,0,29.16666667,35.41666667,0,31.25,4.166666667,0,0,0,6.92820323,3.741657387,4.123105626,0,3.872983346,1.414213562,0,0,0,5.400617249,5.951190357,0,5.590169944,2.041241452,0,0,0
APPSU 28852,1,2,4/29/2016,2016,Spring,North Carolina,Female,58,21,5,8,0,7,0,0,0,1,23.80952381,38.0952381,0,33.33333333,0,0,0,4.761904762,4.582575695,2.236067977,2.828427125,0,2.645751311,0,0,0,1,4.879500365,6.172133999,0,5.773502692,0,0,0,2.182178902
INHS,1,1,11/7/1998,1998,Autumn,North Carolina,Male,58,4,0,1,2,0,1,0,0,0,0,25,50,0,25,0,0,0,2,0,1,1.414213562,0,1,0,0,0,0,5,7.071067812,0,5,0,0,0
INHS,1,2,11/7/1998,1998,Autumn,North Carolina,Male,55,39,0,10,19,5,4,1,0,0,0,25.64102564,48.71794872,12.82051282,10.25641026,2.564102564,0,0,6.244997998,0,3.16227766,4.358898944,2.236067977,2,1,0,0,0,5.063696835,6.979824405,3.58057437,3.202563077,1.601281538,0,0
INHS,1,4,11/7/1998,1998,Autumn,North Carolina,Female,45,2,0,0,2,0,0,0,0,0,0,0,100,0,0,0,0,0,1.414213562,0,0,1.414213562,0,0,0,0,0,0,0,10,0,0,0,0,0
NCSM 53347,1,1,5/7/2008,2008,Spring,North Carolina,Female,65,43,36,3,1,1,0,2,0,0,83.72093023,6.976744186,2.325581395,2.325581395,0,4.651162791,0,0,6.557438524,6,1.732050808,1,1,0,1.414213562,0,0,9.14991422,2.641352719,1.524985703,1.524985703,0,2.156655464,0,0
NCSM 53347,1,2,5/7/2008,2008,Spring,North Carolina,Male,67,16,10,3,0,2,0,1,0,0,62.5,18.75,0,12.5,0,6.25,0,0,4,3.16227766,1.732050808,0,1.414213562,0,1,0,0,7.90569415,4.330127019,0,3.535533906,0,2.5,0,0
NCSM 53347,1,3,5/7/2008,2008,Spring,North Carolina,Female,63,139,25,56,2,55,0,1,0,0,17.98561151,40.28776978,1.438848921,39.56834532,0,0.71942446,0,0,11.78982612,5,7.483314774,1.414213562,7.416198487,0,1,0,0,4.240944648,6.347264748,1.199520288,6.290337457,0,0.848188929,0,0
NCSM 53347,1,4,5/7/2008,2008,Spring,North Carolina,Female,60,158,10,73,2,70,0,3,0,0,6.329113924,46.20253165,1.265822785,44.30379747,0,1.898734177,0,0,12.56980509,3.16227766,8.544003745,1.414213562,8.366600265,0,1.732050808,0,0,2.515773027,6.797244416,1.125087901,6.656109785,0,1.377945636,0,0
NCSM 53347,1,5,5/7/2008,2008,Spring,North Carolina,Male,51,25,3,11,0,8,0,3,0,0,12,44,0,32,0,12,0,0,5,1.732050808,3.31662479,0,2.828427125,0,1.732050808,0,0,3.464101615,6.633249581,0,5.656854249,0,3.464101615,0,0
NCSM 53347,1,6,5/7/2008,2008,Spring,North Carolina,Male,76,22,10,5,2,2,0,3,0,0,45.45454545,22.72727273,9.090909091,9.090909091,0,13.63636364,0,0,4.69041576,3.16227766,2.236067977,1.414213562,1.414213562,0,1.732050808,0,0,6.741998624,4.767312947,3.015113446,3.015113446,0,3.69274473,0,0
NCSM 53347,1,7,5/7/2008,2008,Spring,North Carolina,Female,62,36,20,8,0,8,0,0,0,0,55.55555556,22.22222222,0,22.22222222,0,0,0,0,6,4.472135955,2.828427125,0,2.828427125,0,0,0,0,7.453559925,4.714045208,0,4.714045208,0,0,0,0
NCSM 53347,1,9,5/7/2008,2008,Spring,North Carolina,Female,61,58,38,10,0,8,0,2,0,0,65.51724138,17.24137931,0,13.79310345,0,3.448275862,0,0,7.615773106,6.164414003,3.16227766,0,2.828427125,0,1.414213562,0,0,8.094272134,4.152273993,0,3.713906764,0,1.856953382,0,0
NCSM 53347,1,10,5/7/2008,2008,Spring,North Carolina,Female,55,69,22,23,1,20,0,2,0,1,31.88405797,33.33333333,1.449275362,28.98550725,0,2.898550725,0,1.449275362,8.306623863,4.69041576,4.795831523,1,4.472135955,0,1.414213562,0,1,5.646597026,5.773502692,1.203858531,5.383819021,0,1.702513062,0,1.203858531
NCSM 62249,1,1,10/10/2010,2010,Autumn,North Carolina,Female,48,9,1,4,0,0,4,0,0,0,11.11111111,44.44444444,0,0,44.44444444,0,0,0,3,1,2,0,0,2,0,0,0,3.333333333,6.666666666,0,0,6.666666666,0,0,0
NCSM 62249,1,2,10/10/2010,2010,Autumn,North Carolina,Female,47,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
NCSM 62249,1,3,10/10/2010,2010,Autumn,North Carolina,Female,44,41,4,17,3,3,14,0,0,0,9.756097561,41.46341463,7.317073171,7.317073171,34.14634146,0,0,0,6.403124237,2,4.123105626,1.732050808,1.732050808,3.741657387,0,0,0,3.123475238,6.439209162,2.705008904,2.705008904,5.843487098,0,0,0
NCSM 62249,1,4,10/10/2010,2010,Autumn,North Carolina,Female,44,11,3,4,0,0,3,0,0,1,27.27272727,36.36363636,0,0,27.27272727,0,0,9.090909091,3.31662479,1.732050808,2,0,0,1.732050808,0,0,1,5.222329678,6.030226891,0,0,5.222329678,0,0,3.015113446
NCSM 75379,1,1,9/9/2013,2013,Autumn,North Carolina,Male,62,99,27,36,0,15,21,0,0,0,27.27272727,36.36363636,0,15.15151515,21.21212121,0,0,0,9.949874371,5.196152423,6,0,3.872983346,4.582575695,0,0,0,5.222329678,6.030226891,0,3.892494721,4.605661864,0,0,0
NCSM 75379,1,2,9/9/2013,2013,Autumn,North Carolina,Male,72,162,18,71,2,20,50,1,0,0,11.11111111,43.82716049,1.234567901,12.34567901,30.86419753,0.617283951,0,0,12.72792206,4.242640687,8.426149773,1.414213562,4.472135955,7.071067812,1,0,0,3.333333333,6.620208493,1.111111111,3.513641844,5.555555555,0.785674202,0,0
NCSM 75379,1,3,9/9/2013,2013,Autumn,North Carolina,Male,56,145,3,71,0,51,18,2,0,0,2.068965517,48.96551724,0,35.17241379,12.4137931,1.379310345,0,0,12.04159458,1.732050808,8.426149773,0,7.141428429,4.242640687,1.414213562,0,0,1.438389904,6.997536512,0,5.930633507,3.523321317,1.174440439,0,0
NCSM 75379,1,4,9/9/2013,2013,Autumn,North Carolina,Male,58,266,31,117,1,83,31,3,0,0,11.65413534,43.98496241,0.37593985,31.20300752,11.65413534,1.127819549,0,0,16.30950643,5.567764363,10.81665383,1,9.110433579,5.567764363,1.732050808,0,0,3.413815364,6.632115983,0.61313934,5.585965227,3.413815364,1.061988488,0,0
NCSM 75379,1,5,9/9/2013,2013,Autumn,North Carolina,Female,64,232,34,99,0,55,39,5,0,0,14.65517241,42.67241379,0,23.70689655,16.81034483,2.155172414,0,0,15.23154621,5.830951895,9.949874371,0,7.416198487,6.244997998,2.236067977,0,0,3.828207467,6.532412555,0,4.868972843,4.100042052,1.468050549,0,0
NCSM 75379,1,6,9/9/2013,2013,Autumn,North Carolina,Female,60,181,14,83,1,2,80,1,0,0,7.73480663,45.85635359,0.552486188,1.104972376,44.19889503,0.552486188,0,0,13.45362405,3.741657387,9.110433579,1,1.414213562,8.94427191,1,0,0,2.781152033,6.771731949,0.743294146,1.051176663,6.648224953,0.743294146,0,0
NCSM 75379,1,7,9/9/2013,2013,Autumn,North Carolina,Male,62,93,43,24,2,8,16,0,0,0,46.23655914,25.80645161,2.150537634,8.602150538,17.20430108,0,0,0,9.643650761,6.557438524,4.898979486,1.414213562,2.828427125,4,0,0,0,6.799746991,5.08000508,1.46647115,2.9329423,4.147806779,0,0,0
NCSM 75379,1,9,9/9/2013,2013,Autumn,North Carolina,Male,67,199,45,77,0,24,52,1,0,0,22.61306533,38.69346734,0,12.06030151,26.13065327,0.502512563,0,0,14.10673598,6.708203932,8.774964387,0,4.898979486,7.211102551,1,0,0,4.755319687,6.220407329,0,3.472794481,5.111815066,0.708881205,0,0
NCSM 75379,1,10,9/9/2013,2013,Autumn,North Carolina,Male,54,185,8,88,1,69,18,1,0,0,4.324324324,47.56756757,0.540540541,37.2972973,9.72972973,0.540540541,0,0,13.60147051,2.828427125,9.38083152,1,8.306623863,4.242640687,1,0,0,2.07950098,6.896924501,0.735214622,6.107151324,3.11925147,0.735214622,0,0
NCSM 75379,1,11,9/9/2013,2013,Autumn,North Carolina,Female,60,18,4,7,0,7,0,0,0,0,22.22222222,38.88888889,0,38.88888889,0,0,0,0,4.242640687,2,2.645751311,0,2.645751311,0,0,0,0,4.714045208,6.236095645,0,6.236095645,0,0,0,0
NCSM 75406,1,1,9/10/2013,2013,Autumn,North Carolina,Female,71,78,9,34,1,19,13,2,0,0,11.53846154,43.58974359,1.282051282,24.35897436,16.66666667,2.564102564,0,0,8.831760866,3,5.830951895,1,4.358898944,3.605551275,1.414213562,0,0,3.396831103,6.602252918,1.132277034,4.935481168,4.082482905,1.601281538,0,0
NCSM 75406,1,2,9/10/2013,2013,Autumn,North Carolina,Male,62,86,4,41,0,37,2,2,0,0,4.651162791,47.6744186,0,43.02325581,2.325581395,2.325581395,0,0,9.273618495,2,6.403124237,0,6.08276253,1.414213562,1.414213562,0,0,2.156655464,6.904666437,0,6.559211523,1.524985703,1.524985703,0,0
NCSM 75406,1,3,9/10/2013,2013,Autumn,North Carolina,Female,64,26,24,1,0,1,0,0,0,0,92.30769231,3.846153846,0,3.846153846,0,0,0,0,5.099019514,4.898979486,1,0,1,0,0,0,0,9.607689228,1.961161351,0,1.961161351,0,0,0,0
NCSM 75406,1,4,9/10/2013,2013,Autumn,North Carolina,Female,64,149,17,65,2,52,13,0,0,0,11.40939597,43.62416107,1.342281879,34.89932886,8.724832215,0,0,0,12.20655562,4.123105626,8.062257748,1.414213562,7.211102551,3.605551275,0,0,0,3.37777974,6.604858899,1.158568893,5.907565392,2.953782696,0,0,0
TU 70479,1,6,6/12/1971,1971,Spring,Virginia,Female,52,27,6,10,1,2,5,2,1,0,22.22222222,37.03703704,3.703703704,7.407407407,18.51851852,7.407407407,3.703703704,0,5.196152423,2.449489743,3.16227766,1,1.414213562,2.236067977,1.414213562,1,0,4.714045208,6.085806195,1.924500897,2.72165527,4.303314829,2.72165527,1.924500897,0
TU 70479,1,7,6/12/1971,1971,Spring,Virginia,Female,55,27,5,11,0,4,2,3,2,0,18.51851852,40.74074074,0,14.81481481,7.407407407,11.11111111,7.407407407,0,5.196152423,2.236067977,3.31662479,0,2,1.414213562,1.732050808,1.414213562,0,4.303314829,6.382847385,0,3.849001794,2.72165527,3.333333333,2.72165527,0
TU 70479,1,9,6/12/1971,1971,Spring,Virginia,Female,58,33,7,13,0,1,7,2,3,0,21.21212121,39.39393939,0,3.03030303,21.21212121,6.060606061,9.090909091,0,5.744562647,2.645751311,3.605551275,0,1,2.645751311,1.414213562,1.732050808,0,4.605661864,6.276459144,0,1.740776559,4.605661864,2.46182982,3.015113446,0
TU 70479,1,10,6/12/1971,1971,Spring,Virginia,Female,61,27,4,11,1,4,0,1,6,0,14.81481481,40.74074074,3.703703704,14.81481481,0,3.703703704,22.22222222,0,5.196152423,2,3.31662479,1,2,0,1,2.449489743,0,3.849001794,6.382847385,1.924500897,3.849001794,0,1.924500897,4.714045208,0
TU 70479,1,12,6/12/1971,1971,Spring,Virginia,Male,52,4,1,1,1,0,0,1,0,0,25,25,25,0,0,25,0,0,2,1,1,1,0,0,1,0,0,5,5,5,0,0,5,0,0
TU 70479,1,13,6/12/1971,1971,Spring,Virginia,Female,51,16,2,7,0,4,0,0,3,0,12.5,43.75,0,25,0,0,18.75,0,4,1.414213562,2.645751311,0,2,0,0,1.732050808,0,3.535533906,6.614378278,0,5,0,0,4.330127019,0
TU 70479,1,14,6/12/1971,1971,Spring,Virginia,Female,55,18,2,8,0,2,1,0,5,0,11.11111111,44.44444444,0,11.11111111,5.555555556,0,27.77777778,0,4.242640687,1.414213562,2.828427125,0,1.414213562,1,0,2.236067977,0,3.333333333,6.666666666,0,3.333333333,2.357022604,0,5.270462767,0
TU 70479,1,15,6/12/1971,1971,Spring,Virginia,Female,51,9,1,4,0,1,2,1,0,0,11.11111111,44.44444444,0,11.11111111,22.22222222,11.11111111,0,0,3,1,2,0,1,1.414213562,1,0,0,3.333333333,6.666666666,0,3.333333333,4.714045208,3.333333333,0,0
TU 70479,1,16,6/12/1971,1971,Spring,Virginia,Female,45,29,1,14,0,12,1,1,0,0,3.448275862,48.27586207,0,41.37931034,3.448275862,3.448275862,0,0,5.385164807,1,3.741657387,0,3.464101615,1,1,0,0,1.856953382,6.948083338,0,6.432675209,1.856953382,1.856953382,0,0
UA 6446.13,1,2,11/27/1981,1981,Autumn,Virginia,Female,40,12,0,6,0,3,3,0,0,0,0,50,0,25,25,0,0,0,3.464101615,0,2.449489743,0,1.732050808,1.732050808,0,0,0,0,7.071067812,0,5,5,0,0,0
UA 7944.14,1,1,9/22/1987,1987,Autumn,Virginia,Female,41,4,2,0,2,0,0,0,0,0,50,0,50,0,0,0,0,0,2,1.414213562,0,1.414213562,0,0,0,0,0,7.071067812,0,7.071067812,0,0,0,0,0
UA 7961.17,1,1,9/21/1987,1987,Autumn,Virginia,Male,64,25,1,12,0,2,10,0,0,0,4,48,0,8,40,0,0,0,5,1,3.464101615,0,1.414213562,3.16227766,0,0,0,2,6.92820323,0,2.828427125,6.32455532,0,0,0
UA 7961.17,1,2,9/21/1987,1987,Autumn,Virginia,Female,47,69,3,33,0,16,17,0,0,0,4.347826087,47.82608696,0,23.1884058,24.63768116,0,0,0,8.306623863,1.732050808,5.744562647,0,4,4.123105626,0,0,0,2.085144141,6.915640748,0,4.815434124,4.963635881,0,0,0
VIMS 10144,1,1,4/24/1998,1998,Spring,Virginia,Female,45,6,1,1,3,0,0,0,1,0,16.66666667,16.66666667,50,0,0,0,16.66666667,0,2.449489743,1,1,1.732050808,0,0,0,1,0,4.082482905,4.082482905,7.071067812,0,0,0,4.082482905,0
VIMS 10144,1,2,4/24/1998,1998,Spring,Virginia,Female,45,2,0,1,0,1,0,0,0,0,0,50,0,50,0,0,0,0,1.414213562,0,1,0,1,0,0,0,0,0,7.071067812,0,7.071067812,0,0,0,0
VIMS 9391,1,1,4/30/1994,1994,Spring,Virginia,Male,46,42,2,20,0,14,4,0,2,0,4.761904762,47.61904762,0,33.33333333,9.523809524,0,4.761904762,0,6.480740698,1.414213562,4.472135955,0,3.741657387,2,0,1.414213562,0,2.182178902,6.900655593,0,5.773502692,3.086066999,0,2.182178902,0
VIMS 9391,1,2,4/30/1994,1994,Spring,Virginia,Female,43,48,0,24,0,24,0,0,0,0,0,50,0,50,0,0,0,0,6.92820323,0,4.898979486,0,4.898979486,0,0,0,0,0,7.071067812,0,7.071067812,0,0,0,0
VIMS 9391,1,3,4/30/1994,1994,Spring,Virginia,Female,42,43,1,21,0,21,0,0,0,0,2.325581395,48.8372093,0,48.8372093,0,0,0,0,6.557438524,1,4.582575695,0,4.582575695,0,0,0,0,1.524985703,6.988362419,0,6.988362419,0,0,0,0
VIMS 9391,1,4,4/30/1994,1994,Spring,Virginia,Female,45,122,0,61,0,60,1,0,0,0,0,50,0,49.18032787,0.819672131,0,0,0,11.04536102,0,7.810249676,0,7.745966692,1,0,0,0,0,7.071067812,0,7.012868733,0.90535746,0,0,0
