CatalogueNo,Species ,Individual,Date,Year,Season,State,SL,PreyAbd,Emp,Dip,Tric,Chi,Sim,Tip,Diptera_Other,pEmp,pDip,pTric,pChi,pSim,pTip,sqrtPreyAbd,sqrtEmp,sqrtDip,sqrtTric,sqrtChi,sqrtSim,sqrtTip,sqrtPEmp,sqrtPDip,sqrtPTric,sqrtPChi,sqrtPSim,sqrtPTip
APPSU 28389,Kanawha,4,5/22/2015,2015,1,2,47,1,1,0,0,0,0,0,0,100,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0,0
APPSU 28389,Kanawha,1,5/22/2015,2015,1,2,48,10,7,1,1,0,0,0,1,77.77777778,11.11111111,11.11111111,0,0,0,3.16227766,2.645751311,1,1,0,0,0,1,8.819171037,3.333333333,3.333333333,0,0
APPSU 28389,Kanawha,2,5/22/2015,2015,1,2,43,12,6,3,0,2,1,0,0,66.66666667,33.33333333,0,22.22222222,11.11111111,0,3.464101615,2.449489743,1.732050808,0,1.414213562,1,0,0,8.164965809,5.773502692,0,4.714045208,3.333333333
APPSU 28389,Kanawha,3,5/22/2015,2015,1,2,46,44,11,16,1,16,0,0,0,39.28571429,57.14285714,3.571428571,57.14285714,0,0,6.633249581,3.31662479,4,1,4,0,0,0,6.267831706,7.55928946,1.889822365,7.55928946,0
APPSU 28852,Kanawha,2,4/29/2016,2016,1,2,58,21,5,8,0,7,0,0,1,38.46153846,61.53846154,0,53.84615385,0,0,4.582575695,2.236067977,2.828427125,0,2.645751311,0,0,1,6.201736729,7.844645406,0,7.337993857,0
APPSU 28852,Kanawha,1,4/29/2016,2016,1,2,58,48,14,17,0,15,2,0,0,45.16129032,54.83870968,0,48.38709677,6.451612903,0,6.92820323,3.741657387,4.123105626,0,3.872983346,1.414213562,0,0,6.72021505,7.405316312,0,6.956083436,2.54000254
JFBM 41557,Kanawha,3,3/21/2003,2003,1,2,38,7,2,1,3,0,0,1,0,33.33333333,16.66666667,50,0,0,16.66666667,2.645751311,1.414213562,1,1.732050808,0,0,1,0,5.773502692,4.082482905,7.071067812,0,0
JFBM 41557,Kanawha,1,3/21/2003,2003,1,2,39,14,0,7,0,1,0,6,0,0,100,0,14.28571429,0,85.71428571,3.741657387,0,2.645751311,0,1,0,2.449489743,0,0,10,0,3.779644731,0
JFBM 41557,Kanawha,2,3/21/2003,2003,1,2,40,13,0,5,3,3,0,2,0,0,62.5,37.5,37.5,0,25,3.605551275,0,2.236067977,1.732050808,1.732050808,0,1.414213562,0,0,7.90569415,6.123724357,6.123724357,0
NCSM 53347,Kanawha,2,5/7/2008,2008,1,2,67,16,10,3,0,2,0,1,0,76.92307692,23.07692308,0,15.38461538,0,7.692307692,4,3.16227766,1.732050808,0,1.414213562,0,1,0,8.770580193,4.803844614,0,3.922322702,0
NCSM 53347,Kanawha,5,5/7/2008,2008,1,2,51,25,3,11,0,8,0,3,0,21.42857143,78.57142857,0,57.14285714,0,21.42857143,5,1.732050808,3.31662479,0,2.828427125,0,1.732050808,0,4.629100499,8.864052604,0,7.55928946,0
NCSM 53347,Kanawha,6,5/7/2008,2008,1,2,76,22,10,5,2,2,0,3,0,58.82352941,29.41176471,11.76470588,11.76470588,0,17.64705882,4.69041576,3.16227766,2.236067977,1.414213562,1.414213562,0,1.732050808,0,7.669649888,5.423261446,3.429971703,3.429971703,0
NCSM 53347,Kanawha,7,5/7/2008,2008,1,2,62,36,20,8,0,8,0,0,0,71.42857143,28.57142857,0,28.57142857,0,0,6,4.472135955,2.828427125,0,2.828427125,0,0,0,8.451542547,5.345224838,0,5.345224838,0
NCSM 53347,Kanawha,1,5/7/2008,2008,1,2,65,43,36,3,1,1,0,2,0,90,7.5,2.5,2.5,0,5,6.557438524,6,1.732050808,1,1,0,1.414213562,0,9.486832981,2.738612788,1.58113883,1.58113883,0
NCSM 53347,Kanawha,10,5/7/2008,2008,1,2,55,69,22,23,1,20,0,2,1,47.82608696,50,2.173913043,43.47826087,0,4.347826087,8.306623863,4.69041576,4.795831523,1,4.472135955,0,1.414213562,1,6.915640748,7.071067812,1.474419561,6.593804734,0
NCSM 53347,Kanawha,9,5/7/2008,2008,1,2,61,58,38,10,0,8,0,2,0,79.16666667,20.83333333,0,16.66666667,0,4.166666667,7.615773106,6.164414003,3.16227766,0,2.828427125,0,1.414213562,0,8.89756521,4.564354646,0,4.082482905,0
NCSM 53347,Kanawha,3,5/7/2008,2008,1,2,63,139,25,56,2,55,0,1,0,30.12048193,67.46987952,2.409638554,66.26506024,0,1.204819277,11.78982612,5,7.483314774,1.414213562,7.416198487,0,1,0,5.488213,8.214005084,1.552301051,8.140335389,0
NCSM 53347,Kanawha,4,5/7/2008,2008,1,2,60,158,10,73,2,70,0,3,0,11.76470588,85.88235294,2.352941176,82.35294118,0,3.529411765,12.56980509,3.16227766,8.544003745,1.414213562,8.366600265,0,1.732050808,0,3.429971703,9.26727322,1.533929978,9.07485213,0
APPSU 28388,Fantail,9,5/22/2015,2015,1,2,33,2,0,1,0,0,0,1,0,0,100,0,0,0,100,1.414213562,0,1,0,0,0,1,0,0,10,0,0,0
APPSU 28388,Fantail,10,5/22/2015,2015,1,2,38,3,1,1,0,1,0,0,0,50,50,0,50,0,0,1.732050808,1,1,0,1,0,0,0,7.071067812,7.071067812,0,7.071067812,0
APPSU 28388,Fantail,4,5/22/2015,2015,1,2,42,5,5,0,0,0,0,0,0,100,0,0,0,0,0,2.236067977,2.236067977,0,0,0,0,0,0,10,0,0,0,0
APPSU 28388,Fantail,6,5/22/2015,2015,1,2,31,20,0,10,0,4,1,5,0,0,100,0,40,10,50,4.472135955,0,3.16227766,0,2,1,2.236067977,0,0,10,0,6.32455532,3.16227766
APPSU 28388,Fantail,2,5/22/2015,2015,1,2,44,32,4,14,0,13,0,1,0,22.22222222,77.77777778,0,72.22222222,0,5.555555556,5.656854249,2,3.741657387,0,3.605551275,0,1,0,4.714045208,8.819171037,0,8.498365856,0
APPSU 28388,Fantail,1,5/22/2015,2015,1,2,45,60,7,26,1,24,2,0,0,20.58823529,76.47058824,2.941176471,70.58823529,5.882352941,0,7.745966692,2.645751311,5.099019514,1,4.898979486,1.414213562,0,0,4.537426064,8.744746322,1.714985852,8.401680504,2.42535625
APPSU 28795,Fantail,2,3/24/2016,2016,1,2,50,1,1,0,0,0,0,0,0,100,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0,0
APPSU 28795,Fantail,6,3/24/2016,2016,1,2,42,5,0,1,3,1,0,0,0,0,25,75,25,0,0,2.236067977,0,1,1.732050808,1,0,0,0,0,5,8.660254038,5,0
APPSU 28795,Fantail,5,3/24/2016,2016,1,2,48,9,1,4,0,2,0,2,0,20,80,0,40,0,40,3,1,2,0,1.414213562,0,1.414213562,0,4.472135955,8.94427191,0,6.32455532,0
APPSU 28795,Fantail,3,3/24/2016,2016,1,2,50,13,0,6,1,5,0,1,0,0,85.71428571,14.28571429,71.42857143,0,14.28571429,3.605551275,0,2.449489743,1,2.236067977,0,1,0,0,9.258200997,3.779644731,8.451542547,0
APPSU 28795,Fantail,8,3/24/2016,2016,1,2,39,19,1,9,0,6,1,2,0,10,90,0,60,10,20,4.358898944,1,3,0,2.449489743,1,1.414213562,0,3.16227766,9.486832981,0,7.745966692,3.16227766
APPSU 28795,Fantail,1,3/24/2016,2016,1,2,44,17,1,6,4,3,0,2,1,9.090909091,54.54545455,36.36363636,27.27272727,0,18.18181818,4.123105626,1,2.449489743,2,1.732050808,0,1.414213562,1,3.015113446,7.385489459,6.030226891,5.222329678,0
APPSU 28795,Fantail,7,3/24/2016,2016,1,2,45,20,1,9,1,9,0,0,0,9.090909091,81.81818182,9.090909091,81.81818182,0,0,4.472135955,1,3,1,3,0,0,0,3.015113446,9.045340337,3.015113446,9.045340337,0
APPSU 28795,Fantail,4,3/24/2016,2016,1,2,40,30,0,15,0,11,0,4,0,0,100,0,73.33333333,0,26.66666667,5.477225575,0,3.872983346,0,3.31662479,0,2,0,0,10,0,8.563488386,0
UA 19837.01,Fantail,1,5/17/2017,2017,1,2,57,1,1,0,0,0,0,0,0,100,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0,0
UA 19837.01,Fantail,2,5/17/2017,2017,1,2,60,2,1,0,1,0,0,0,0,50,0,50,0,0,0,1.414213562,1,0,1,0,0,0,0,7.071067812,0,7.071067812,0,0
UA 19837.01,Fantail,3,5/17/2017,2017,1,2,54,12,6,3,0,2,1,0,0,66.66666667,33.33333333,0,22.22222222,11.11111111,0,3.464101615,2.449489743,1.732050808,0,1.414213562,1,0,0,8.164965809,5.773502692,0,4.714045208,3.333333333
UA 19837.01,Fantail,4,5/17/2017,2017,1,2,41,19,1,4,10,2,0,2,0,6.666666667,26.66666667,66.66666667,13.33333333,0,13.33333333,4.358898944,1,2,3.16227766,1.414213562,0,1.414213562,0,2.581988898,5.163977795,8.164965809,3.651483716,0
UA 19857.01,Fantail,5,5/15/2017,2017,1,2,39,6,2,2,0,2,0,0,0,50,50,0,50,0,0,2.449489743,1.414213562,1.414213562,0,1.414213562,0,0,0,7.071067812,7.071067812,0,7.071067812,0
UA 19857.01,Fantail,4,5/15/2017,2017,1,2,43,7,7,0,0,0,0,0,0,100,0,0,0,0,0,2.645751311,2.645751311,0,0,0,0,0,0,10,0,0,0,0
UA 19857.01,Fantail,1,5/15/2017,2017,1,2,58,9,8,0,1,0,0,0,0,88.88888889,0,11.11111111,0,0,0,3,2.828427125,0,1,0,0,0,0,9.428090416,0,3.333333333,0,0
UA 19857.01,Fantail,3,5/15/2017,2017,1,2,46,18,18,0,0,0,0,0,0,100,0,0,0,0,0,4.242640687,4.242640687,0,0,0,0,0,0,10,0,0,0,0
UA 19857.01,Fantail,2,5/15/2017,2017,1,2,47,31,15,8,0,8,0,0,0,75,40,0,40,0,0,5.567764363,3.872983346,2.828427125,0,2.828427125,0,0,0,8.660254038,6.32455532,0,6.32455532,0
